Tournament_Type,Opponent,Wins,Losses,Total_Matches,Win_Percentage
All,poolmaster,2,0,2,100.0
All,Jyothi Swaroop,2,0,2,100.0
All,Scott Thompson,1,0,1,100.0
All,anveshkolli,1,0,1,100.0
All,Dr VIGHNESH B,0,1,1,0.0
All,Karthik Kosuri,1,0,1,100.0
All,Rachit3069,4,2,6,66.7
All,chiku0215,2,7,9,22.2
All,Keerthi G,2,0,2,100.0
All,Kp,0,1,1,0.0
All,Pavan Singh,0,1,1,0.0
All,Jaadooo,0,1,1,0.0
All,Salmankhan24,1,0,1,100.0
All,Abeer,1,0,1,100.0
All,Sukhu75,2,0,2,100.0
All,Nii,1,0,1,100.0
All,Rahul Badhan,1,0,1,100.0
All,pu2wilson,4,1,5,80.0
All,Avanesh,1,0,1,100.0
All,Animal,0,1,2,0.0
All,Rashesh,1,1,2,50.0
All,Sai Kittu,1,0,1,100.0
All,Srinunaidu,0,0,1,0.0
All,Salman Ayub,0,0,1,0.0
All,ArunJalanila,0,0,1,0.0
All,Krishnakumar K,0,1,1,0.0
All,AnythingIsPossible,0,1,1,0.0
All,NEW ZEALAND,0,0,1,0.0
All,Varshnem,0,0,1,0.0
All,Raj Patil,0,0,1,0.0
All,Shoaib,0,0,1,0.0
All,KiranDevara,0,0,1,0.0
All,NiTiN,4,0,4,100.0
All,Vishal dhanala,2,0,2,100.0
All,Fetalice,2,0,2,100.0
All,Krishna Prashanth,0,1,1,0.0
All,HighestSaint,1,0,1,100.0
All,Gonnabathula,0,2,2,0.0
All,AJ,1,0,1,100.0
All,Nikhil,2,2,4,50.0
All,RiteshSbgIndia,1,0,1,100.0
All,Adeep kumar sahoo,0,1,1,0.0
All,kAiZZeR 007,2,0,2,100.0
All,AjgarJurraat,1,0,1,100.0
All,aviroyal,1,0,1,100.0
All,Abhitiwa,2,0,2,100.0
All,Alishan Abdul Qadir,1,0,1,100.0
All,Ajaura,1,0,1,100.0
All,SinghTaran,1,0,1,100.0
All,VR Meta,1,0,1,100.0
All,Nkmaharana,1,0,1,100.0
All,Munawar,1,0,1,100.0
All,Justin Davies,1,0,1,100.0
All,Haider,1,0,1,100.0
All,VK,0,3,3,0.0
All,Rishab Prashanth,4,3,7,57.1
All,shri,1,0,1,100.0
All,GoWinNow,2,8,10,20.0
All,Shrey,1,0,1,100.0
All,Zain Sarwar,2,0,2,100.0
All,Donz Rohilla,1,0,1,100.0
All,A1andominic,1,0,1,100.0
All,Faisal hayat,3,0,3,100.0
All,quick-bravery,2,0,2,100.0
All,Anumala,2,0,2,100.0
All,Jaitik Berawala,0,2,2,0.0
All,WhoGamer,1,1,2,50.0
All,taran2388,3,0,3,100.0
All,Haree,2,0,2,100.0
All,KYADASI SRIKANTH,1,0,1,100.0
All,IshanOshin,2,0,2,100.0
All,Gary Belcher,2,0,2,100.0
All,Yogesh Shrivastava,2,0,2,100.0
All,Zeeshan,0,1,1,0.0
All,Dev,1,0,1,100.0
All,N@N!,1,0,1,100.0
All,Kunal,1,0,1,100.0
All,GalacticParakeet3590,1,0,1,100.0
All,Vivek Venugopal,1,0,1,100.0
All,Wizheart,1,0,1,100.0
All,Shikhar,2,0,2,100.0
All,aravindun,3,1,4,75.0
All,Junadkhan,2,0,2,100.0
All,Arjunak23,3,1,4,75.0
All,Dinosa_VR,1,0,1,100.0
All,Pratik Chandarana,1,0,1,100.0
All,manjunath0591,1,0,1,100.0
All,Tharshith,1,0,1,100.0
All,farazshamim9,2,0,2,100.0
All,Powerplay6100,1,0,1,100.0
All,Hamza,1,0,1,100.0
All,AshMc1,1,0,1,100.0
All,uzair52,1,0,1,100.0
All,akarsh86,2,0,2,100.0
All,emms.shergill,2,2,4,50.0
All,martinc41,1,0,1,100.0
All,saketh,2,0,2,100.0
All,ai.x,1,0,1,100.0
All,sumair,1,0,1,100.0
All,DireKirby,0,1,1,0.0
All,Dax,1,0,1,100.0
All,GameParade8258_YT,1,1,2,50.0
All,Faheem,1,0,1,100.0
All,Devil,2,0,2,100.0
All,ADITHYA GOURIBHATLA,2,0,2,100.0
All,MJ,0,1,1,0.0
All,Santhosh Gujje,2,0,2,100.0
All,Mike Andrews,1,0,1,100.0
All,Boycott Geoffrey,3,0,3,100.0
All,Mohammad Ahyan,2,0,2,100.0
All,Subhanazaan,1,0,1,100.0
All,Sai,1,0,1,100.0
All,Veekshith4,1,0,1,100.0
All,Adilmirza,1,0,1,100.0
All,timephilospher13,1,0,1,100.0
All,prudhiviraj,1,0,1,100.0
All,zubair16,1,0,1,100.0
All,Shikhar Sharma,1,0,1,100.0
All,Janjo,1,0,1,100.0
All,Puneet,0,1,1,0.0
All,Ikram Khan,2,0,2,100.0
All,Boora,1,0,1,100.0
All,K2L,1,1,2,50.0
All,Venomvertex24,1,0,1,100.0
All,ammarkhan87,2,0,2,100.0
All,Viraj Sankholkar,1,0,1,100.0
All,Finalstatue,1,0,1,100.0
All,AminSajwani17,1,0,1,100.0
All,harsha425,1,0,1,100.0
All,fas,1,1,2,50.0
All,GoldBadger2650,1,0,1,100.0
All,Muhammad Janjua,1,0,1,100.0
All,Parth Patel,0,0,1,0.0
All,Zackahmed2020,0,1,1,0.0
All,Narayanharimittal,0,1,1,0.0
All,Aalok,0,0,1,0.0
All,Izhar Ali,0,1,1,0.0
All,Mudi,0,0,1,0.0
All,Bharath Simha Reddy Bobbala,0,1,1,0.0
All,Isco71,0,0,1,0.0
All,Arshpreet Singh,1,0,1,100.0
All,మధు కిరణ్ తుమ్మిడి,0,1,1,0.0
All,Mehmood,1,0,1,100.0
All,Vishal,1,0,1,100.0
All,LaughingMacaw9638,0,1,1,0.0
All,Salim Syed,0,1,1,0.0
All,Garvish,0,1,1,0.0
All,SamP,1,1,2,50.0
All,Shayak Mukherjee,0,1,1,0.0
All,wajihhaider1,0,1,1,0.0
All,Gautam Khandige,2,0,2,100.0
All,Jack,1,0,1,100.0
All,Karanveer Singh,3,0,3,100.0
All,Ram,2,0,2,100.0
All,Numan Sarfraz,2,0,2,100.0
All,Srikanth Mamidi,1,0,1,100.0
All,Sohaib Arshad,2,0,2,100.0
All,Anil Roy,1,0,1,100.0
All,Morne Herselman,1,0,1,100.0
All,Atul Gupta,1,0,1,100.0
All,Lets workout,1,0,1,100.0
All,Arslan Cheema,1,0,1,100.0
All,Sheikh0300,1,0,1,100.0
All,amazing11,1,0,1,100.0
All,CS COATs,1,0,1,100.0
All,James Middleton,1,0,1,100.0
All,Imran Shariff,1,0,1,100.0
All,Jigar Adhiya,1,0,1,100.0
All,SAi Kumar Reddy,1,0,1,100.0
All,Deepuppal,1,0,1,100.0
All,Rohan,1,0,1,100.0
All,Jeevan,0,1,1,0.0
All,Another Cricketer,1,0,1,100.0
All,musascontact,1,0,1,100.0
All,deepu_vyshu,1,0,1,100.0
All,Stealthemu,1,0,1,100.0
All,Ali,1,0,1,100.0
All,Right_handed_batsman,1,0,1,100.0
All,Ali110,1,0,1,100.0
All,Santosh,1,0,1,100.0
All,SadhiqCMA,1,0,1,100.0
All,Stone Cold316,1,0,1,100.0
All,vrmaha8055,1,0,1,100.0
All,Dushyanth,1,0,1,100.0
All,Iceman,0,1,1,0.0
All,Anil Solanki,1,0,1,100.0
All,FriendlyFlamingo9461,1,0,1,100.0
All,bizwiz00,2,0,2,100.0
All,Mandy Mandanna,1,0,1,100.0
All,Albert,1,0,1,100.0
All,DataDragon,1,0,1,100.0
All,mnfumatiya,1,0,1,100.0
All,San Van,1,0,1,100.0
All,Barney,1,0,1,100.0
All,rishirocks22,1,0,1,100.0
All,FrostedNarwhal4218,1,0,1,100.0
All,Nishant Kumar,0,1,1,0.0
All,RONAK,0,1,1,0.0
All,Meer03,1,0,1,100.0
All,Akshar1127,1,0,1,100.0
All,Niles,1,0,1,100.0
All,Asif Eqbal,0,1,1,0.0
All,Fucuras,1,0,1,100.0
All,Adeel Prasla,1,0,1,100.0
All,Harsh,0,1,1,0.0
All,Kinshuk Kashyap,1,0,1,100.0
All,nxy6608,1,0,1,100.0
All,CyyM07,1,0,1,100.0
All,AJ-Abhi,1,0,1,100.0
All,Mustafa Hussain,1,0,1,100.0
All,BazBall,0,1,1,0.0
All,Steve,1,0,1,100.0
All,Haleyangilella,1,0,1,100.0
All,HarshaPopuri,1,0,1,100.0
All,Shashank Ubarhande,1,0,1,100.0
All,Praneeth,1,0,1,100.0
All,Mumar19,1,0,1,100.0
All,Vidit Chopra,1,0,1,100.0
All,Mayank Dungarwal,0,1,1,0.0
All,Regor024,1,0,1,100.0
All,Mohitv90,1,0,1,100.0
All,Amna,1,0,1,100.0
All,Abhya73,1,0,1,100.0
All,Sumit,1,0,1,100.0
All,JumpingWren3304,1,0,1,100.0
All,GoofyTapir5006,1,0,1,100.0
All,Chan8690,1,0,1,100.0
iBC PRO 360,poolmaster,2,0,2,100.0
iBC PRO 360,Jyothi Swaroop,1,0,1,100.0
iBC PRO 360,Scott Thompson,1,0,1,100.0
iBC PRO 360,Karthik Kosuri,1,0,1,100.0
iBC PRO 360,chiku0215,1,2,3,33.3
iBC PRO 360,Keerthi G,1,0,1,100.0
iBC PRO 360,Kp,0,1,1,0.0
iBC PRO 360,Pavan Singh,0,1,1,0.0
iBC PRO 360,Jaadooo,0,1,1,0.0
iBC PRO 360,Salmankhan24,1,0,1,100.0
iBC PRO 360,Abeer,1,0,1,100.0
iBC PRO 360,Nii,1,0,1,100.0
iBC PRO 360,Rahul Badhan,1,0,1,100.0
iBC PRO 360,pu2wilson,4,1,5,80.0
iBC PRO 360,Avanesh,1,0,1,100.0
iBC PRO 360,Rashesh,1,1,2,50.0
iBC PRO 360,Sai Kittu,1,0,1,100.0
iBC PRO 360,NiTiN,3,0,3,100.0
iBC PRO 360,Fetalice,1,0,1,100.0
iBC PRO 360,Krishna Prashanth,0,1,1,0.0
iBC PRO 360,HighestSaint,1,0,1,100.0
iBC PRO 360,Nikhil,2,2,4,50.0
iBC PRO 360,RiteshSbgIndia,1,0,1,100.0
iBC PRO 360,kAiZZeR 007,1,0,1,100.0
iBC PRO 360,AjgarJurraat,1,0,1,100.0
iBC PRO 360,Abhitiwa,2,0,2,100.0
iBC PRO 360,Alishan Abdul Qadir,1,0,1,100.0
iBC PRO 360,Ajaura,1,0,1,100.0
iBC PRO 360,SinghTaran,1,0,1,100.0
iBC PRO 360,VR Meta,1,0,1,100.0
iBC PRO 360,Nkmaharana,1,0,1,100.0
iBC PRO 360,Justin Davies,1,0,1,100.0
iBC PRO 360,Haider,1,0,1,100.0
iBC PRO 360,shri,1,0,1,100.0
iBC PRO 360,GoWinNow,2,4,6,33.3
iBC PRO 360,Rishab Prashanth,1,2,3,33.3
iBC PRO 360,A1andominic,1,0,1,100.0
iBC PRO 360,Rachit3069,1,1,2,50.0
iBC PRO 360,Anumala,2,0,2,100.0
iBC PRO 360,taran2388,3,0,3,100.0
iBC PRO 360,IshanOshin,2,0,2,100.0
iBC PRO 360,Zeeshan,0,1,1,0.0
iBC PRO 360,Dev,1,0,1,100.0
iBC PRO 360,Kunal,1,0,1,100.0
iBC PRO 360,GalacticParakeet3590,1,0,1,100.0
iBC PRO 360,Wizheart,1,0,1,100.0
iBC PRO 360,Shikhar,2,0,2,100.0
iBC PRO 360,aravindun,3,1,4,75.0
iBC PRO 360,Dinosa_VR,1,0,1,100.0
iBC PRO 360,Sukhu75,1,0,1,100.0
iBC PRO 360,farazshamim9,2,0,2,100.0
iBC PRO 360,Powerplay6100,1,0,1,100.0
iBC PRO 360,Hamza,1,0,1,100.0
iBC PRO 360,martinc41,1,0,1,100.0
iBC PRO 360,Zain Sarwar,1,0,1,100.0
iBC PRO 360,sumair,1,0,1,100.0
iBC PRO 360,Dax,1,0,1,100.0
iBC PRO 360,GameParade8258_YT,1,1,2,50.0
iBC PRO 360,Faheem,1,0,1,100.0
iBC PRO 360,ADITHYA GOURIBHATLA,2,0,2,100.0
iBC PRO 360,MJ,0,1,1,0.0
iBC PRO 360,Santhosh Gujje,2,0,2,100.0
iBC PRO 360,Boycott Geoffrey,3,0,3,100.0
iBC PRO 360,Subhanazaan,1,0,1,100.0
iBC PRO 360,Sai,1,0,1,100.0
iBC PRO 360,Veekshith4,1,0,1,100.0
iBC PRO 360,timephilospher13,1,0,1,100.0
iBC PRO 360,prudhiviraj,1,0,1,100.0
iBC PRO 360,Shikhar Sharma,1,0,1,100.0
iBC PRO 360,Ikram Khan,2,0,2,100.0
iBC PRO 360,Boora,1,0,1,100.0
iBC PRO 360,K2L,1,1,2,50.0
iBC PRO 360,Venomvertex24,1,0,1,100.0
iBC PRO 360,ammarkhan87,1,0,1,100.0
iBC PRO 360,harsha425,1,0,1,100.0
iBC PRO 360,Muhammad Janjua,1,0,1,100.0
iBC PRO 360,Gonnabathula,0,1,1,0.0
iBC PRO 360,Arshpreet Singh,1,0,1,100.0
iBC PRO 360,Mehmood,1,0,1,100.0
iBC PRO 360,Vishal,1,0,1,100.0
iBC PRO 360,LaughingMacaw9638,0,1,1,0.0
